indication,target,molecular_weight,logP,traditional_time_years
arthritis,CD33,371.4,2.78,9.11
lupus,RAS,494.0,2.03,12.27
asthma,IL-17,458.4,1.67,9.55
epilepsy,ERK,401.9,3.32,9.56
kidney_cancer,TOP1,322.6,3.44,13.31
myocardial_infarction,CDK6,448.4,3.55,8.69
celiac_disease,BCR-ABL,467.9,4.36,12.17
atherosclerosis,GABA_B,460.0,2.57,9.71
pancreatic_cancer,RET,459.8,3.54,9.96
copd,EGFR,453.9,3.04,9.49
cervical_cancer,CD47,393.8,2.34,14.23
crohns_disease,IGF1R,337.8,4.75,10.28
type2_diabetes,ALK,350.5,2.31,7.91
leukemia,CD47,392.5,3.89,10.43
malaria,Wnt,426.4,4.25,12.61
celiac_disease,TOP1,396.1,3.28,12.21
bipolar_disorder,mTOR,383.2,5.15,10.52
pancreatic_cancer,BTK,355.0,3.31,13.95
multiple_sclerosis,Wnt,500.7,3.41,13.72
migraine,BCMA,435.2,2.87,14.43
ulcerative_colitis,D2,453.5,2.85,9.13
type1_diabetes,CTLA-4,527.1,5.21,14.63
arrhythmia,MR,405.4,1.63,9.8
hyperlipidemia,NTRK,442.9,5.58,11.47
multiple_sclerosis,ERK,385.7,4.64,11.37
autism,BRD4,584.2,2.45,8.88
stomach_cancer,IL-13,495.5,4.63,16.25
copd,HER4,419.7,2.8,9.94
malaria,ERK,403.5,1.99,8.05
hepatitis_b,IL-13,398.1,1.78,9.33
anxiety,CD20,452.7,2.23,11.86
heart_failure,FGFR,468.7,1.44,9.34
bipolar_disorder,AP-1,476.5,3.83,11.16
alzheimers,CDK4,290.5,3.37,11.35
osteoporosis,NMDA,548.2,1.79,8.22
gout,BTK,583.8,3.42,8.16
ovarian_cancer,LAG3,393.6,2.94,14.0
heart_failure,NTRK,494.7,3.08,8.12
hepatitis_b,BCR-ABL,493.1,2.08,9.96
asthma,EGF,463.5,1.59,11.49
esophageal_cancer,PR,441.1,2.1,14.19
chronic_pain,EGF,391.2,4.24,10.88
thyroid_cancer,D2,537.3,3.61,12.33
atherosclerosis,mTOR,362.6,2.68,7.58
malaria,STAT,547.0,3.14,11.33
autism,CD30,635.5,3.39,14.42
osteoporosis,IL-13,465.4,2.69,8.47
breast_cancer,NOTCH,460.7,2.85,13.7
leukemia,BRD4,506.6,3.96,11.6
type1_diabetes,MR,387.1,1.67,10.64
asthma,VEGFR,303.1,3.51,8.27
hiv_aids,VEGFR,361.7,0.85,8.76
asthma,TIM3,481.1,5.49,13.66
depression,GABA_A,449.5,3.84,13.62
epilepsy,AKT,456.5,2.9,11.2
crohns_disease,TIM3,523.5,2.71,13.37
hepatitis_b,GABA_A,471.4,3.32,10.12
fibromyalgia,ERK,396.6,3.99,8.56
hiv_aids,AKT,436.0,2.24,10.19
myocardial_infarction,JAK,492.9,2.1,11.08
kidney_cancer,PD-L1,452.3,2.99,10.83
obesity,5-HT1A,536.9,3.47,8.36
colorectal_cancer,PD-1,448.0,3.82,11.43
asthma,BCR-ABL,561.2,3.56,12.19
autism,RET,450.8,1.69,9.75
parkinsons,TOP1,364.8,2.69,11.78
hepatitis_b,IL-1,401.2,2.81,7.17
breast_cancer,NMDA,454.5,3.53,14.26
breast_cancer,TOP1,444.4,3.49,11.44
depression,GLP-1R,455.2,1.02,13.3
parkinsons,5-HT1A,374.9,2.86,10.66
lymphoma,EGFR,353.2,3.6,13.02
obesity,TGF_beta,572.5,4.22,9.2
lymphoma,AMPA,432.9,4.49,11.43
depression,LAG3,461.9,2.66,14.09
chronic_pain,PD-1,400.9,2.7,12.03
hiv_aids,AP-1,418.9,3.17,7.97
liver_disease,CD19,462.8,3.0,10.51
pancreatic_cancer,HGF,485.0,4.19,12.76
multiple_sclerosis,IL-23,526.0,1.52,12.38
celiac_disease,TNF_alpha,245.7,3.93,9.28
bipolar_disorder,NTRK,340.6,2.78,10.77
stroke,CD38,356.4,1.2,10.23
multiple_sclerosis,CD22,493.3,3.76,13.19
sepsis,PI3K,403.9,0.41,10.22
stomach_cancer,NMDA,406.3,3.39,14.32
hyperlipidemia,IL-17,331.7,3.18,7.23
cardiomyopathy,CD47,448.8,3.58,9.73
pneumonia,BRAF,459.6,2.03,8.44
kidney_disease,CD38,545.7,2.84,10.07
kidney_cancer,EGFR,447.8,2.07,12.01
coronary_artery_disease,GABA_A,414.5,2.12,11.53
cervical_cancer,p53,436.2,4.71,13.81
cardiomyopathy,ER_alpha,340.2,1.39,11.24
insomnia,JAK,567.7,2.79,7.38
als,TOP1,396.5,4.04,11.27
gout,TNF_alpha,401.6,4.83,10.73
bipolar_disorder,5-HT2A,504.2,2.51,12.08
colon_cancer,CD47,622.6,2.39,15.5
hiv_aids,HER3,509.4,3.3,7.17
prostate_cancer,BCR-ABL,554.1,4.56,14.89
huntingtons,IL-23,452.6,2.25,11.25
lymphoma,NF-kB,486.8,2.32,12.38
influenza,ER_beta,611.1,3.14,9.03
breast_cancer,CD20,420.8,3.18,13.29
colon_cancer,SGLT2,342.2,2.03,11.64
melanoma,BRD4,546.0,2.34,12.79
chronic_pain,STAT,366.2,3.54,9.31
coronary_artery_disease,PDGFR,544.9,3.72,10.77
copd,CD38,529.7,2.24,8.26
brain_cancer,VEGFPARP,336.3,4.5,12.87
fibromyalgia,ALK,424.2,2.75,10.34
huntingtons,HIF,556.3,3.56,10.62
sepsis,FGFR,486.5,5.17,7.97
lupus,GLP-1R,398.5,3.93,11.96
ovarian_cancer,HER2,454.6,3.27,13.44
celiac_disease,GCGR,572.3,3.51,13.05
obesity,CD47,493.1,4.07,8.48
schizophrenia,AR,420.8,2.16,11.87
arrhythmia,VEGFPARP,366.4,1.03,8.85
coronary_artery_disease,BRD4,614.5,1.9,11.68
influenza,BTK,432.3,2.72,9.32
cervical_cancer,AMPA,474.6,3.82,13.23
ovarian_cancer,c-MET,518.8,2.42,11.3
insomnia,EGF,436.6,3.28,10.51
psoriasis,IL-6,430.1,4.61,12.46
als,AMPA,489.3,3.73,10.74
bladder_cancer,HER2,503.0,4.17,12.8
liver_disease,CDK4,464.5,1.7,8.29
migraine,CD38,482.0,2.35,12.07
hyperlipidemia,GR,407.7,3.59,10.61
covid_19,RET,549.1,3.02,9.95
liver_disease,NF-kB,474.7,4.7,8.32
lung_cancer,RET,469.3,5.6,15.8
alzheimers,NF-kB,495.2,1.24,12.42
bladder_cancer,TOP1,510.3,3.38,13.75
asthma,AP-1,553.2,3.67,9.39
leukemia,AP-1,438.9,1.78,11.36
bipolar_disorder,IL-13,433.3,2.15,11.01
arrhythmia,GABA_B,403.6,3.59,8.87
hepatitis_b,BRD4,583.6,3.39,7.79
osteoporosis,DNMT,354.3,3.44,8.85
lymphoma,SGLT2,545.7,2.39,10.88
thyroid_cancer,D2,439.3,3.01,12.22
liver_disease,EGFR,387.2,3.65,9.49
malaria,HGF,440.3,3.42,9.51
myocardial_infarction,HGF,379.0,2.56,9.14
lymphoma,AR,507.8,2.63,12.79
gout,SGLT2,588.2,2.6,10.87
depression,PR,468.0,3.93,13.74
colon_cancer,AKT,336.5,1.24,11.1
lupus,IL-13,327.9,4.26,10.3
type1_diabetes,mTOR,405.9,5.56,14.86
crohns_disease,VEGFPARP,404.9,3.18,12.5
hepatitis_c,IL-23,573.4,5.01,9.14
colorectal_cancer,ER_beta,614.9,4.21,12.64
coronary_artery_disease,OX40,531.9,3.59,10.24
kidney_cancer,CD19,512.3,2.45,12.6
multiple_sclerosis,HIF,384.5,3.0,11.5
anxiety,FGFR,436.4,2.55,13.43
lupus,IL-13,505.7,3.96,9.42
influenza,TOP1,457.1,4.48,10.65
cardiomyopathy,JAK,358.7,2.81,8.73
stomach_cancer,BTK,392.7,1.13,13.92
ovarian_cancer,GLP-1R,443.4,2.88,10.54
huntingtons,EGFR,571.1,3.63,10.4
heart_failure,CD33,368.1,4.85,11.84
adhd,GABA_A,547.7,3.58,11.89
lupus,IL-17,431.9,2.04,9.05
arthritis,ERK,420.2,4.09,9.72
brain_cancer,BCMA,600.8,4.54,14.64
insomnia,NMDA,410.9,1.88,12.44
breast_cancer,VEGFPARP,461.3,1.23,13.41
als,PDGFR,475.9,2.85,12.29
melanoma,AR,412.7,1.41,10.95
chronic_pain,ER_alpha,491.1,2.47,10.07
kidney_disease,PDGFR,356.4,0.13,10.09
esophageal_cancer,NTRK,447.8,4.77,11.95
liver_cancer,HDAC,582.9,2.54,13.85
tuberculosis,BRD4,401.8,3.47,8.02
malaria,HIF,370.1,3.3,10.96
colorectal_cancer,5-HT2A,511.3,4.23,11.83
myocardial_infarction,CTLA-4,442.0,2.8,11.71
autism,MR,379.8,2.17,10.9
prostate_cancer,AR,431.9,3.37,13.19
liver_cancer,HGF,523.1,2.2,10.76
arthritis,BRD4,569.4,2.73,9.42
brain_cancer,OX40,448.3,2.25,13.07
colorectal_cancer,NMDA,256.1,3.88,10.05
bipolar_disorder,Wnt,508.9,2.72,12.88
obesity,HER2,455.4,3.52,8.63
lung_cancer,EGF,325.0,2.47,11.46
type1_diabetes,DNMT,513.5,1.75,11.14
coronary_artery_disease,BTK,473.5,1.64,9.35
atherosclerosis,VEGFPARP,487.3,2.96,9.14
bladder_cancer,IL-13,320.8,4.16,11.06
leukemia,STAT,391.2,2.19,12.9
cervical_cancer,NF-kB,466.0,4.15,10.26
atherosclerosis,CD30,368.7,3.06,9.7
rheumatoid_arthritis,HGF,484.3,3.69,10.39
tuberculosis,CDK4,464.1,2.63,6.88
malaria,TIGIT,383.8,3.09,13.35
sepsis,D2,364.2,0.08,9.23
esophageal_cancer,TIGIT,484.9,3.9,14.62
stomach_cancer,ALK,261.0,1.99,14.04
hiv_aids,BCR-ABL,499.5,5.06,11.15
heart_failure,CEA,451.7,2.27,10.12
bipolar_disorder,AKT,435.4,4.37,10.98
arthritis,HER2,398.3,2.2,11.14
arrhythmia,IL-1,411.4,2.05,8.08
hypertension,AMPA,459.8,4.62,12.66
epilepsy,c-MET,475.8,2.75,10.14
chronic_pain,CEA,426.7,1.44,10.14
ovarian_cancer,PDGFR,520.6,2.92,14.19
chronic_pain,Wnt,435.6,6.19,14.4
myocardial_infarction,ER_beta,473.9,2.25,10.43
stomach_cancer,IL-6,415.9,4.15,11.58
hiv_aids,GPC3,459.1,1.56,10.83
lung_cancer,TNF_alpha,523.5,2.33,13.31
fibromyalgia,HIF,599.9,4.08,8.63
coronary_artery_disease,CEA,414.2,4.28,10.85
epilepsy,SGLT2,455.4,3.85,12.8
copd,AMPA,488.8,2.15,8.37
hepatitis_b,HER3,398.5,4.03,8.48
colon_cancer,Hedgehog,423.2,2.6,13.64
stroke,IL-6,373.6,3.42,11.97
prostate_cancer,AP-1,615.0,1.93,15.57
asthma,AMPA,451.9,4.41,9.14
hypertension,HGF,443.6,3.45,10.84
fibromyalgia,LAG3,365.0,3.43,11.29
liver_cancer,TOP2,435.0,3.99,10.53
chronic_pain,TNF_alpha,545.0,5.59,12.21
myocardial_infarction,NMDA,496.4,3.33,11.75
arthritis,PI3K,465.6,2.65,8.6
lung_cancer,NF-kB,477.1,2.7,12.38
insomnia,GLP-1R,463.5,4.32,9.34
hyperlipidemia,BCMA,369.5,4.14,11.53
leukemia,GLP-1R,555.4,2.88,10.38
esophageal_cancer,OX40,280.3,2.39,11.54
lung_cancer,EGF,553.8,2.98,12.19
alzheimers,CD30,370.1,2.5,10.19
huntingtons,LAG3,517.2,3.55,13.79
osteoporosis,HDAC,430.9,2.63,8.34
obesity,TGF_beta,418.7,2.08,9.2
type1_diabetes,PR,579.2,2.68,12.95
epilepsy,D2,547.4,4.52,13.67
psoriasis,IL-13,529.9,2.57,11.36
gout,Wnt,482.3,2.98,9.24
malaria,RET,377.7,3.32,6.95
pancreatic_cancer,AR,355.7,4.19,14.04
anxiety,RAS,412.8,3.2,11.15
breast_cancer,STAT,472.7,2.74,14.32
atherosclerosis,VEGFR,496.9,2.53,11.15
epilepsy,p53,519.7,1.65,9.89
coronary_artery_disease,RET,460.1,4.94,13.06
osteoporosis,GR,370.0,2.32,9.66
liver_cancer,RET,491.1,3.18,12.87
type1_diabetes,BCMA,478.1,3.49,14.25
hiv_aids,EGF,500.8,4.11,7.35
stomach_cancer,TNF_alpha,482.8,2.76,12.52
huntingtons,IL-23,503.8,4.9,14.46
copd,PD-L1,439.4,2.03,13.41
pneumonia,BCR-ABL,538.6,2.88,11.69
multiple_sclerosis,TOP2,276.2,3.85,11.82
autism,PD-L1,407.2,2.91,12.15
myocardial_infarction,NMDA,476.6,3.19,8.86
schizophrenia,BTK,506.8,2.56,13.89
liver_disease,STAT,491.0,2.74,8.58
autism,HDAC,509.1,3.62,11.14
celiac_disease,MEK,375.2,4.09,11.21
liver_disease,p53,407.1,3.81,10.95
copd,ER_alpha,479.4,4.84,12.15
depression,GABA_A,432.1,2.65,10.39
osteoporosis,TOP1,448.4,2.7,10.41
tuberculosis,AMPA,514.0,1.38,11.01
myocardial_infarction,5-HT2A,365.7,1.93,12.18
pneumonia,CD30,526.0,4.71,11.07
crohns_disease,CEA,441.6,2.83,11.41
migraine,TIM3,455.6,4.16,12.85
alzheimers,SGLT2,375.8,3.24,12.36
depression,D2,528.0,3.5,9.52
epilepsy,NTRK,465.2,4.0,12.67
hyperlipidemia,STAT,233.7,3.68,7.15
myocardial_infarction,SGLT2,397.7,1.17,10.69
chronic_pain,IL-23,490.9,4.37,11.28
adhd,CTLA-4,439.0,3.95,13.46
kidney_cancer,DNMT,579.0,4.31,13.65
covid_19,CD38,581.2,3.74,8.26
huntingtons,BCMA,456.0,1.4,11.71
cardiomyopathy,EGF,430.3,2.16,10.51
myocardial_infarction,OX40,623.7,2.82,11.08
covid_19,ROS1,459.9,3.55,8.92
hypertension,CDK4,453.5,4.7,11.88
hiv_aids,ALK,400.2,3.19,7.21
bipolar_disorder,TIM3,390.6,1.68,14.24
type2_diabetes,BCR-ABL,401.1,2.96,10.88
cervical_cancer,PD-1,415.7,2.31,13.84
esophageal_cancer,HDAC,337.5,2.92,10.51
bladder_cancer,HER4,329.6,3.76,11.82
heart_failure,ROS1,456.6,1.54,11.16
rheumatoid_arthritis,TOP2,425.3,2.25,10.09
cervical_cancer,IL-17,475.5,4.34,13.13
crohns_disease,NMDA,300.0,3.12,10.79
colon_cancer,IL-4,437.2,3.67,11.29
malaria,IL-17,467.1,2.25,10.1
copd,IL-4,424.5,2.2,8.33
rheumatoid_arthritis,CEA,536.1,3.02,9.7
chronic_pain,AKT,602.1,2.94,10.16
kidney_disease,AMPA,393.3,1.49,9.57
bipolar_disorder,RAS,305.7,1.42,10.49
osteoporosis,PD-L1,471.4,3.51,8.83
autism,ROS1,323.5,3.9,10.29
schizophrenia,OX40,411.4,3.15,11.57
atherosclerosis,c-MET,579.0,3.9,8.44
pneumonia,NOTCH,428.5,2.11,10.1
heart_failure,FGFR,277.9,2.28,12.22
anxiety,TIM3,433.1,2.01,10.1
breast_cancer,GABA_B,439.5,3.08,11.4
liver_disease,ER_alpha,432.0,2.35,10.26
ulcerative_colitis,ROS1,463.5,3.44,12.68
osteoporosis,ALK,362.8,4.41,10.05
huntingtons,ER_beta,442.1,3.02,12.37
als,AR,506.7,3.23,12.58
pancreatic_cancer,STAT,526.3,3.29,12.53
alzheimers,NMDA,401.0,3.36,12.11
coronary_artery_disease,Hedgehog,358.5,3.11,13.1
thyroid_cancer,CTLA-4,447.3,2.79,12.79
parkinsons,VEGFPARP,439.7,1.12,9.42
depression,HGF,406.1,3.09,9.47
ovarian_cancer,HGF,462.8,1.97,13.48
obesity,RET,551.3,2.13,8.26
psoriasis,Hedgehog,527.6,3.43,10.56
lymphoma,mTOR,398.3,4.78,13.19
type1_diabetes,GCGR,354.5,3.92,11.29
colon_cancer,CTLA-4,530.0,2.33,15.19
kidney_disease,JAK,561.4,2.75,10.33
crohns_disease,5-HT1A,473.1,3.26,11.43
coronary_artery_disease,c-MET,439.3,3.81,10.05
autism,IL-4,513.5,1.25,10.16
hyperlipidemia,BTK,554.3,1.34,10.22
migraine,CD33,532.6,4.13,12.43
gout,JAK,362.7,2.59,9.17
anxiety,CD33,361.5,2.79,10.06
liver_cancer,PDGFR,425.4,3.78,13.56
cardiomyopathy,BRD4,554.8,4.4,9.38
gout,AP-1,405.0,2.79,8.96
bladder_cancer,CEA,315.3,2.19,11.74
kidney_disease,ROS1,527.2,4.62,10.82
hepatitis_c,ER_alpha,351.3,2.41,10.78
insomnia,PDGFR,447.9,3.28,11.41
stomach_cancer,DNMT,385.2,3.42,13.8
gout,JAK,412.1,2.99,7.71
myocardial_infarction,TGF_beta,493.7,3.01,10.88
lymphoma,Wnt,415.1,2.89,14.77
lymphoma,CDK4,442.9,2.63,13.5
coronary_artery_disease,IL-23,429.3,4.6,12.73
lupus,IL-13,494.9,2.7,12.77
malaria,CD33,505.8,2.67,8.97
huntingtons,CEA,543.8,3.37,12.87
pancreatic_cancer,OX40,441.4,3.45,13.35
adhd,EGFR,324.3,1.87,8.47
depression,IL-13,354.5,3.14,11.5
leukemia,VEGFR,588.6,5.23,12.89
als,TOP2,501.0,3.5,10.07
parkinsons,ALK,305.9,2.46,12.62
leukemia,RAS,387.0,2.38,14.17
kidney_cancer,CD38,436.5,2.53,12.0
thyroid_cancer,TOP2,291.7,3.75,13.0
hyperlipidemia,FGFR,364.2,3.24,8.73
heart_failure,CD33,615.9,2.08,10.6
osteoporosis,D2,247.6,2.71,9.48
osteoporosis,BRAF,538.1,4.96,8.39
hiv_aids,LAG3,351.6,3.5,8.98
colon_cancer,AMPA,412.8,2.89,12.68
cardiomyopathy,TGF_beta,661.5,1.5,11.84
stomach_cancer,TIM3,470.3,3.47,14.9
hepatitis_b,GLP-1R,536.9,3.1,8.55
colorectal_cancer,CD22,474.6,2.61,13.36
hypertension,GCGR,471.5,2.66,8.62
cardiomyopathy,ER_alpha,499.7,2.63,8.94
esophageal_cancer,VEGFPARP,480.2,2.97,12.99
hypertension,OX40,540.1,2.95,8.33
melanoma,CD22,308.2,4.26,11.56
chronic_pain,LAG3,377.5,2.35,12.82
prostate_cancer,ER_beta,402.3,4.37,12.19
arrhythmia,IGF1R,279.1,6.14,8.78
breast_cancer,c-MET,534.5,3.22,11.95
type2_diabetes,BRD4,445.6,3.29,6.92
epilepsy,ER_beta,491.7,3.65,12.16
kidney_disease,RAS,494.4,3.09,11.41
pneumonia,TGF_beta,434.2,2.85,10.83
insomnia,CD22,434.4,4.13,10.44
type1_diabetes,GPC3,497.5,0.06,12.54
depression,IGF1R,502.5,3.19,12.87
colorectal_cancer,TGF_beta,448.5,2.61,13.41
osteoporosis,AP-1,539.9,3.95,7.35
epilepsy,SGLT2,388.2,3.41,10.35
ulcerative_colitis,D2,372.3,1.62,10.47
cardiomyopathy,AKT,399.9,3.86,9.52
insomnia,AKT,526.3,3.51,10.29
hypertension,NF-kB,508.0,3.52,12.32
lupus,c-MET,398.7,3.43,11.62
lupus,BRAF,514.0,3.75,13.09
hepatitis_b,MR,545.1,3.71,8.42
depression,MEK,478.1,4.07,11.34
schizophrenia,MYC,447.9,2.12,12.73
celiac_disease,ROS1,437.0,2.26,11.97
asthma,NF-kB,396.0,2.86,9.99
kidney_disease,NMDA,386.6,2.69,8.12
pancreatic_cancer,MR,298.5,3.21,11.97
cardiomyopathy,HDAC,450.1,2.18,8.86
influenza,p53,502.7,3.94,10.47
hiv_aids,PDGFR,321.4,2.24,8.16
insomnia,HIF,388.5,2.06,11.9
chronic_pain,BRD4,516.4,2.81,10.26
ovarian_cancer,PD-L1,428.8,1.0,14.35
chronic_pain,Hedgehog,500.8,1.76,13.05
adhd,OX40,454.8,3.28,11.14
bladder_cancer,IL-6,558.9,1.69,14.01
brain_cancer,TNF_alpha,208.4,3.18,10.44
colon_cancer,PR,594.0,4.24,11.38
cardiomyopathy,5-HT2A,466.8,2.51,8.11
coronary_artery_disease,PI3K,514.6,2.03,8.65
type2_diabetes,ROS1,488.1,3.51,9.62
fibromyalgia,p53,534.8,5.76,14.62
ulcerative_colitis,FGF,481.4,2.49,12.81
hypertension,CDK6,448.0,1.23,10.45
rheumatoid_arthritis,CD22,394.4,2.59,13.85
cervical_cancer,STAT,408.1,3.15,9.98
liver_disease,GABA_B,384.2,4.12,9.48
liver_disease,PD-1,450.0,2.99,9.09
pneumonia,MR,423.8,3.16,7.98
depression,NOTCH,516.0,2.13,13.11
kidney_cancer,NF-kB,397.4,2.7,10.46
adhd,CD38,342.3,2.18,11.21
anxiety,p53,411.9,3.87,14.14
pneumonia,HGF,471.0,3.19,9.28
crohns_disease,ER_alpha,518.1,2.86,13.68
liver_cancer,CD19,481.2,2.9,13.62
hepatitis_b,IL-17,471.2,2.42,7.51
insomnia,RET,254.9,2.87,9.76
anxiety,GLP-1R,563.8,3.93,11.45
celiac_disease,mTOR,527.2,4.24,12.02
liver_disease,GABA_B,457.1,3.2,11.77
epilepsy,CD19,400.6,2.68,13.63
thyroid_cancer,HDAC,499.3,4.2,14.08
ulcerative_colitis,BCMA,438.8,2.55,12.3
anxiety,CTLA-4,450.0,3.6,13.64
lung_cancer,VEGFPARP,334.5,0.7,12.41
myocardial_infarction,JAK,406.0,1.78,9.1
copd,NMDA,409.3,2.85,11.39
copd,MEK,413.7,4.45,11.06
ulcerative_colitis,5-HT1A,476.1,3.3,12.6
chronic_pain,CD20,499.8,1.86,12.35
prostate_cancer,HDAC,533.1,2.92,12.89
celiac_disease,c-MET,503.6,1.93,12.14
hyperlipidemia,Hedgehog,325.7,3.82,10.41
rheumatoid_arthritis,CD30,480.1,2.1,11.17
migraine,ER_alpha,380.4,4.13,11.34
adhd,CDK6,354.8,4.64,11.98
influenza,TNF_alpha,378.0,3.64,7.12
atherosclerosis,CD47,423.7,3.6,12.02
insomnia,CD22,406.5,2.84,12.84
chronic_pain,mTOR,453.3,2.0,8.17
gout,IL-6,509.3,2.49,7.01
brain_cancer,CD38,431.7,2.01,11.47
rheumatoid_arthritis,HER3,245.0,2.81,10.1
atherosclerosis,OX40,643.0,3.78,10.34
thyroid_cancer,TIM3,448.5,2.74,11.7
fibromyalgia,BRD4,451.8,3.55,8.62
lupus,TIM3,355.5,4.11,11.19
stomach_cancer,CD22,507.2,3.72,13.61
asthma,FGFR,485.1,3.02,7.8
tuberculosis,PR,503.8,3.59,7.75
covid_19,p53,421.7,2.43,10.25
esophageal_cancer,5-HT1A,458.1,4.55,13.49
leukemia,5-HT2A,350.9,1.53,12.08
asthma,TOP2,463.2,3.05,11.29
autism,CEA,463.9,3.24,11.35
crohns_disease,5-HT2A,432.1,4.49,10.01
copd,5-HT1A,321.9,2.17,10.67
cervical_cancer,IL-1,441.7,1.36,11.55
crohns_disease,TGF_beta,435.9,4.66,13.18
hepatitis_b,PD-1,451.7,3.23,10.1
gout,c-MET,349.2,2.38,7.73
malaria,FGF,420.0,2.68,9.74
stomach_cancer,EGF,552.5,3.56,13.15
crohns_disease,TGF_beta,361.1,3.25,9.29
hiv_aids,c-MET,489.9,4.14,9.34
hyperlipidemia,CD33,576.4,1.98,8.24
colon_cancer,HGF,385.1,1.74,13.37
hypertension,AP-1,431.3,3.47,8.64
gout,p53,529.0,2.92,11.38
adhd,GIPR,424.4,3.15,13.43
breast_cancer,p53,383.2,5.09,15.85
bladder_cancer,EGFR,321.4,3.18,13.5
colorectal_cancer,PD-1,611.9,3.01,14.03
hiv_aids,ER_beta,434.8,2.64,8.57
colon_cancer,JAK,435.6,4.37,12.79
hepatitis_c,MEK,273.1,4.53,8.11
hypertension,GABA_A,336.1,2.73,9.14
colon_cancer,HIF,415.7,3.59,14.57
tuberculosis,NOTCH,322.2,3.46,8.72
stroke,GLP-1R,611.9,1.64,12.48
migraine,TNF_alpha,465.2,2.34,11.07
pancreatic_cancer,VEGFR,484.1,3.02,12.29
copd,ROS1,398.7,3.49,8.89
depression,5-HT1A,594.3,2.81,11.51
als,NMDA,507.6,1.71,12.25
rheumatoid_arthritis,p53,373.5,3.47,11.35
fibromyalgia,NMDA,568.7,3.36,10.06
celiac_disease,CD19,425.0,3.0,12.44
autism,IGF1R,350.0,3.6,11.99
bipolar_disorder,NOTCH,520.6,2.55,9.93
depression,CTLA-4,412.4,3.27,11.06
melanoma,MYC,415.1,2.93,12.24
myocardial_infarction,LAG3,618.0,2.75,13.7
pancreatic_cancer,CD47,421.3,2.35,15.02
heart_failure,GABA_B,509.5,2.82,10.89
gout,PD-1,398.1,4.32,8.95
type1_diabetes,FGFR,563.6,2.4,11.66
arrhythmia,5-HT1A,300.7,4.01,9.43
epilepsy,ER_beta,395.2,3.79,11.49
insomnia,GIPR,292.4,3.89,7.03
lupus,IL-17,353.1,3.73,11.88
celiac_disease,GIPR,451.1,2.05,11.6
schizophrenia,TIM3,417.4,3.69,13.91
migraine,BCR-ABL,458.5,3.58,15.07
lupus,IL-13,608.1,1.44,9.5
insomnia,BRD4,579.4,3.1,10.53
anxiety,CTLA-4,378.1,1.67,11.06
parkinsons,RAS,434.9,3.92,13.79
cervical_cancer,ER_beta,439.8,4.51,15.2
melanoma,BTK,333.9,2.99,10.45
depression,GLP-1R,349.8,3.36,11.09
stomach_cancer,TIGIT,521.0,2.58,14.07
autism,CDK6,241.7,3.2,10.2
myocardial_infarction,HIF,484.9,3.4,9.47
malaria,DNMT,548.9,1.93,9.77
autism,BRD4,504.4,4.19,9.06
covid_19,HER3,307.7,3.32,10.8
gout,TIM3,409.7,2.92,8.67
kidney_disease,AMPA,477.8,2.51,10.23
liver_cancer,IL-4,395.9,3.03,11.24
copd,PI3K,363.0,1.91,10.88
celiac_disease,CD38,504.3,1.85,12.01
brain_cancer,CEA,503.3,3.46,12.49
pneumonia,CD19,311.9,2.32,9.97
gout,BRD4,545.5,2.02,9.08
influenza,JAK,412.8,3.46,8.17
migraine,GABA_A,512.7,2.75,11.44
liver_disease,IL-23,402.2,4.42,12.3
prostate_cancer,VEGFR,589.1,3.98,11.67
hiv_aids,PI3K,456.8,2.19,7.73
heart_failure,HGF,383.6,3.52,8.33
hypertension,GABA_A,483.5,4.4,10.58
ovarian_cancer,PD-L1,502.0,1.5,13.13
rheumatoid_arthritis,NTRK,534.2,2.0,10.71
lymphoma,VEGFPARP,419.3,3.25,12.3
cardiomyopathy,GLP-1R,609.7,6.11,12.29
thyroid_cancer,EGF,498.5,2.82,12.82
parkinsons,PDGFR,492.8,3.89,10.84
hypertension,SGLT2,424.3,4.8,9.07
als,HGF,468.4,3.5,9.3
hyperlipidemia,ERK,503.3,3.42,6.38
myocardial_infarction,RET,517.1,2.38,10.96
anxiety,SGLT2,405.3,1.9,12.43
cervical_cancer,HDAC,485.2,3.78,10.41
migraine,CDK6,486.6,4.67,11.68
brain_cancer,Hedgehog,449.6,3.67,14.97
atherosclerosis,PI3K,362.7,2.61,12.61
type2_diabetes,IL-4,505.6,3.85,9.24
alzheimers,TIGIT,426.5,2.93,10.59
asthma,GABA_B,328.6,2.64,7.3
type2_diabetes,OX40,521.2,3.58,8.25
pneumonia,PDGFR,490.1,3.05,7.92
coronary_artery_disease,HER4,450.6,2.34,9.4
migraine,GCGR,505.9,3.42,10.94
crohns_disease,TOP2,489.4,2.47,11.54
hepatitis_b,STAT,277.7,4.1,8.13
malaria,BRAF,411.7,2.14,7.3
obesity,AKT,505.5,2.61,8.94
schizophrenia,STAT,534.8,3.62,9.99
depression,AKT,504.7,1.63,9.53
psoriasis,TOP1,547.0,3.26,13.36
arrhythmia,EGF,420.5,3.14,12.38
brain_cancer,MR,307.9,3.41,12.79
sepsis,TIGIT,367.7,1.65,9.09
malaria,HGF,328.2,4.11,7.08
lung_cancer,SGLT2,399.7,4.53,14.83
pancreatic_cancer,GLP-1R,407.1,1.29,12.76
leukemia,D2,360.7,4.24,11.96
hepatitis_b,DNMT,437.5,2.45,7.94
