indication,target,molecular_weight,logP,toxicity_label
rheumatoid_arthritis,BRAF,483.939,3.143,1
obesity,PD1,453.488,4.695,1
prostate_cancer,PD1,441.558,2.816,0
migraine,D2,401.058,2.963,0
prostate_cancer,5-HT1A,432.384,0.932,0
obesity,GABA_A,329.622,3.76,0
rheumatoid_arthritis,PD-1,433.605,3.007,0
colon_cancer,PD1,425.263,2.248,0
colorectal_cancer,GLP-1R,488.412,5.731,0
psoriasis,PD-L1,437.189,3.671,0
type2_diabetes,BRAF,379.102,3.269,0
prostate_cancer,IL-6,536.081,3.021,1
obesity,GLP-1R,418.071,2.347,0
obesity,GABA_A,305.749,1.416,1
colon_cancer,VEGF,511.762,4.531,0
colorectal_cancer,VEGF,411.355,3.147,0
type2_diabetes,GIPR,461.589,2.385,0
ovarian_cancer,PD-1,428.518,2.109,0
copd,GLP-1R,378.948,2.693,0
colorectal_cancer,EGFR,439.499,3.077,0
melanoma,GIPR,490.954,2.832,0
depression,EGFR,362.768,4.411,1
colon_cancer,GABA_A,466.538,3.759,1
schizophrenia,SGLT2,401.005,3.362,1
rheumatoid_arthritis,NMDA,454.668,2.255,0
obesity,EGFR,447.342,2.792,0
rheumatoid_arthritis,BRAF,664.249,2.514,0
schizophrenia,SGLT2,462.789,1.972,0
migraine,HER2,518.437,4.287,1
breast_cancer,PD-1,398.302,4.775,1
type2_diabetes,BRAF,374.492,1.905,0
migraine,SGLT2,561.397,2.75,1
rheumatoid_arthritis,ALK,304.455,2.307,0
breast_cancer,PD-1,554.347,1.338,1
migraine,BRAF,371.057,4.482,0
colon_cancer,VEGF,361.544,2.785,0
prostate_cancer,SGLT2,372.848,2.57,0
breast_cancer,SGLT2,554.825,4.396,0
lung_cancer,NMDA,437.952,2.286,0
schizophrenia,VEGF,527.188,4.616,0
copd,ALK,601.311,2.538,0
rheumatoid_arthritis,D2,412.093,2.986,0
obesity,BRAF,441.83,3.409,0
type2_diabetes,GABA_A,442.931,2.63,0
breast_cancer,GLP-1R,305.697,2.645,0
rheumatoid_arthritis,SGLT2,505.756,2.666,0
type2_diabetes,VEGF,326.827,1.514,0
depression,PD-1,354.486,3.143,1
ovarian_cancer,IL-6,575.825,3.25,1
prostate_cancer,PD1,305.915,2.457,0
obesity,ALK,349.084,2.135,1
obesity,BRAF,291.656,3.748,0
obesity,D2,436.251,1.892,0
prostate_cancer,IL-6,247.577,2.714,1
melanoma,EGFR,473.349,3.899,1
obesity,BRAF,351.636,3.497,0
copd,PD-1,447.588,2.432,1
migraine,PD-L1,470.299,3.468,1
copd,BRAF,421.059,3.28,1
migraine,mTOR,499.726,2.63,1
prostate_cancer,NMDA,440.031,1.827,1
copd,VEGF,540.084,2.949,0
colon_cancer,PD1,334.155,2.157,0
type2_diabetes,PD-1,402.347,4.374,1
asthma,PD-1,667.276,2.73,1
migraine,GABA_A,445.608,3.286,1
lung_cancer,NMDA,483.176,4.492,1
schizophrenia,GIPR,434.213,2.849,1
lymphoma,EGFR,543.264,2.796,1
copd,BRAF,497.485,0.06,0
migraine,D2,606.565,2.759,1
type2_diabetes,mTOR,388.17,3.407,0
type2_diabetes,ALK,541.631,2.468,0
obesity,EGFR,526.25,3.513,0
prostate_cancer,EGFR,491.203,3.716,0
depression,GABA_A,514.033,3.754,1
depression,SGLT2,496.76,3.45,0
breast_cancer,PD1,447.878,2.118,0
ovarian_cancer,GLP-1R,318.779,1.367,0
rheumatoid_arthritis,IL-6,386.606,2.692,1
rheumatoid_arthritis,GLP-1R,452.415,3.609,0
lymphoma,IL-6,450.096,2.183,1
schizophrenia,GIPR,435.663,3.083,0
ovarian_cancer,SGLT2,321.395,2.237,0
rheumatoid_arthritis,IL-6,519.834,2.37,1
prostate_cancer,VEGF,516.358,2.806,0
type2_diabetes,PD1,326.737,2.867,0
depression,GIPR,454.795,3.277,0
copd,HER2,381.626,3.335,1
breast_cancer,TNF_alpha,208.439,3.184,1
ovarian_cancer,mTOR,398.087,3.189,0
colorectal_cancer,VEGF,514.57,2.026,0
colorectal_cancer,IL-6,468.927,4.37,1
colon_cancer,GABA_A,481.393,2.491,0
melanoma,SGLT2,303.333,2.972,0
type2_diabetes,EGFR,408.073,3.152,1
psoriasis,BRAF,399.905,3.015,0
lymphoma,SGLT2,423.768,3.155,1
ovarian_cancer,5-HT1A,381.324,4.126,0
psoriasis,ALK,342.33,2.181,0
prostate_cancer,VEGF,532.194,2.336,1
ovarian_cancer,GLP-1R,518.072,2.863,0
prostate_cancer,BRAF,444.756,4.982,1
ovarian_cancer,GLP-1R,563.82,3.926,0
asthma,NMDA,491.779,2.184,0
colorectal_cancer,NMDA,457.093,3.197,0
copd,EGFR,466.264,2.715,1
breast_cancer,IL-6,438.844,2.55,1
schizophrenia,EGFR,223.398,3.017,0
schizophrenia,SGLT2,405.957,1.779,0
asthma,BRAF,548.81,2.68,1
asthma,HER2,499.777,1.861,0
lung_cancer,EGFR,428.158,3.365,1
type2_diabetes,PD1,325.699,3.818,0
colorectal_cancer,IL-6,551.967,3.81,1
lymphoma,IL-6,354.847,4.643,1
colorectal_cancer,ALK,465.383,2.852,0
lymphoma,PD1,406.471,2.837,0
rheumatoid_arthritis,BRAF,310.492,3.119,1
colorectal_cancer,TNF_alpha,431.712,2.006,0
asthma,VEGF,512.318,0.59,0
lymphoma,EGFR,448.459,2.737,1
migraine,PD1,611.433,3.216,0
asthma,PD-1,507.231,3.718,1
lymphoma,PD1,430.984,3.192,0
depression,BRAF,458.149,4.549,0
type2_diabetes,PD-1,529.094,1.649,1
colon_cancer,VEGF,463.867,3.244,1
type2_diabetes,VEGF,268.12,2.064,0
asthma,PD-L1,441.74,1.357,1
schizophrenia,ALK,394.397,2.959,1
prostate_cancer,PD-1,451.671,3.231,1
melanoma,5-HT1A,433.542,2.35,0
ovarian_cancer,BRAF,419.984,2.682,0
ovarian_cancer,GLP-1R,481.462,4.413,0
colorectal_cancer,NMDA,489.858,4.14,1
copd,ALK,356.399,3.849,0
ovarian_cancer,mTOR,431.278,3.466,0
obesity,GABA_A,476.405,3.62,0
rheumatoid_arthritis,TNF_alpha,383.189,5.09,0
depression,EGFR,453.029,3.585,0
colon_cancer,SGLT2,611.888,3.007,0
breast_cancer,IL-6,517.322,2.382,0
lung_cancer,ALK,273.051,4.533,0
lung_cancer,ALK,433.94,1.768,0
obesity,IL-6,415.66,3.589,1
type2_diabetes,PD-L1,453.837,3.332,0
schizophrenia,HER2,611.945,1.637,0
breast_cancer,GIPR,463.02,3.041,0
migraine,PD-1,484.071,3.019,1
breast_cancer,NMDA,443.209,1.757,1
melanoma,D2,507.581,1.707,0
ovarian_cancer,PD1,468.572,1.797,0
prostate_cancer,SGLT2,424.955,2.999,0
prostate_cancer,NMDA,499.479,2.793,0
depression,TNF_alpha,349.967,3.605,0
schizophrenia,PD-1,487.566,3.714,0
type2_diabetes,HER2,415.062,2.934,0
colon_cancer,PD1,386.306,3.339,0
colon_cancer,PD1,509.535,2.819,1
depression,mTOR,342.471,1.397,0
migraine,NMDA,300.677,4.008,1
colorectal_cancer,BRAF,482.518,1.42,0
obesity,IL-6,353.106,3.731,0
migraine,SGLT2,327.898,3.033,0
psoriasis,GABA_A,417.437,3.686,1
rheumatoid_arthritis,PD-1,326.78,4.983,1
rheumatoid_arthritis,ALK,579.377,3.104,0
ovarian_cancer,PD1,512.342,2.709,1
melanoma,ALK,434.87,3.922,1
colon_cancer,PD-L1,421.129,-0.471,0
ovarian_cancer,VEGF,349.809,3.364,0
depression,5-HT1A,420.701,3.444,0
copd,SGLT2,241.663,3.199,0
breast_cancer,EGFR,411.715,3.958,1
colon_cancer,GLP-1R,504.417,4.193,0
ovarian_cancer,PD-1,458.758,4.053,1
prostate_cancer,ALK,409.666,2.918,0
copd,SGLT2,505.219,0.442,0
ovarian_cancer,PD-1,363.02,1.914,0
rheumatoid_arthritis,BRAF,547.39,3.821,1
copd,VEGF,311.935,2.322,0
ovarian_cancer,PD-L1,519.088,3.58,0
obesity,HER2,512.671,2.748,1
lymphoma,D2,566.779,1.28,0
asthma,GABA_A,456.825,2.192,1
schizophrenia,VEGF,488.424,2.431,0
prostate_cancer,mTOR,502.036,1.497,0
colorectal_cancer,HER2,527.631,3.803,0
melanoma,SGLT2,609.653,6.0,1
lung_cancer,IL-6,536.555,3.996,1
schizophrenia,GIPR,468.406,3.498,1
colorectal_cancer,EGFR,416.189,3.677,1
colon_cancer,SGLT2,405.336,1.9,0
depression,SGLT2,534.657,3.938,0
colon_cancer,NMDA,449.552,3.669,0
ovarian_cancer,BRAF,486.335,2.465,1
migraine,IL-6,426.483,2.928,1
depression,GABA_A,445.177,3.455,0
ovarian_cancer,VEGF,521.231,3.575,0
lymphoma,D2,595.538,3.04,1
lung_cancer,EGFR,489.362,2.474,1
lymphoma,TNF_alpha,370.289,2.72,1
asthma,PD-1,411.693,2.137,0
ovarian_cancer,SGLT2,480.126,3.81,1
copd,BRAF,504.686,1.634,0
colon_cancer,IL-6,455.58,2.36,0
prostate_cancer,TNF_alpha,367.65,1.647,0
type2_diabetes,PD1,547.42,2.132,0
psoriasis,BRAF,407.136,1.293,0
copd,NMDA,415.421,2.837,0
colon_cancer,SGLT2,462.801,3.502,0
rheumatoid_arthritis,VEGF,355.163,3.521,0
ovarian_cancer,EGFR,416.923,3.26,0
depression,EGFR,409.434,1.332,1
psoriasis,VEGF,452.624,2.242,0
breast_cancer,D2,571.088,2.387,1
type2_diabetes,EGFR,302.305,2.07,0
migraine,GABA_A,383.719,2.337,0
depression,NMDA,376.251,1.996,0
lymphoma,PD-1,457.006,3.396,0
type2_diabetes,IL-6,406.266,2.728,1
colon_cancer,HER2,569.887,4.248,1
lung_cancer,mTOR,514.912,1.852,0
melanoma,EGFR,324.002,3.926,0
migraine,mTOR,531.413,3.271,1
colon_cancer,VEGF,432.807,3.277,0
depression,EGFR,533.785,4.17,1
depression,NMDA,453.502,2.744,0
breast_cancer,5-HT1A,495.765,2.938,0
colon_cancer,ALK,419.169,3.42,1
melanoma,GIPR,448.116,2.826,0
psoriasis,5-HT1A,475.323,3.19,0
schizophrenia,mTOR,415.059,1.393,0
migraine,IL-6,451.265,2.913,1
schizophrenia,GLP-1R,346.619,3.69,0
prostate_cancer,IL-6,478.735,3.568,0
rheumatoid_arthritis,BRAF,387.299,2.309,0
breast_cancer,GABA_A,586.401,2.699,1
rheumatoid_arthritis,PD1,403.596,3.239,1
schizophrenia,SGLT2,482.63,3.453,1
lung_cancer,NMDA,456.076,3.743,0
copd,NMDA,563.362,3.681,1
obesity,PD-1,388.937,3.038,0
prostate_cancer,EGFR,462.307,3.766,1
ovarian_cancer,VEGF,387.121,1.619,0
colorectal_cancer,NMDA,538.557,3.641,0
lymphoma,SGLT2,342.912,3.693,0
colorectal_cancer,HER2,320.771,0.964,0
rheumatoid_arthritis,GLP-1R,406.035,3.86,0
copd,D2,394.769,3.004,0
breast_cancer,IL-6,410.55,4.444,1
prostate_cancer,PD1,394.061,2.508,0
lymphoma,GABA_A,513.23,3.34,1
obesity,NMDA,394.451,3.33,0
lung_cancer,GABA_A,363.188,2.175,0
schizophrenia,VEGF,278.416,3.533,0
rheumatoid_arthritis,TNF_alpha,488.549,3.547,0
migraine,TNF_alpha,358.357,1.637,0
asthma,BRAF,431.616,2.149,0
prostate_cancer,VEGF,337.946,3.014,1
rheumatoid_arthritis,GLP-1R,523.744,3.483,1
lung_cancer,PD-1,418.848,4.591,1
breast_cancer,ALK,487.891,2.074,0
migraine,TNF_alpha,367.039,3.744,0
schizophrenia,IL-6,528.065,3.918,1
asthma,D2,427.518,3.425,0
psoriasis,EGFR,432.639,2.692,1
melanoma,PD-1,336.59,3.6,0
prostate_cancer,PD-1,339.791,2.435,0
breast_cancer,PD-L1,459.004,3.445,1
breast_cancer,mTOR,323.121,1.12,0
lung_cancer,PD-1,536.874,4.055,1
migraine,BRAF,239.14,3.003,1
prostate_cancer,VEGF,493.91,5.219,0
rheumatoid_arthritis,mTOR,375.966,3.255,0
melanoma,D2,484.679,2.194,0
copd,D2,518.676,2.765,0
prostate_cancer,PD-1,235.217,3.26,0
obesity,mTOR,659.663,1.888,0
ovarian_cancer,EGFR,362.288,3.838,0
lung_cancer,VEGF,472.451,4.759,1
prostate_cancer,VEGF,478.915,3.338,0
breast_cancer,ALK,537.718,2.374,0
breast_cancer,EGFR,476.698,2.702,1
obesity,TNF_alpha,385.997,2.936,0
type2_diabetes,SGLT2,427.944,3.941,0
copd,VEGF,401.464,3.211,0
copd,NMDA,426.418,4.346,1
obesity,GABA_A,299.876,3.62,0
prostate_cancer,IL-6,349.656,1.529,0
obesity,VEGF,401.62,0.794,0
type2_diabetes,mTOR,553.152,3.968,0
schizophrenia,IL-6,502.122,1.862,0
schizophrenia,5-HT1A,471.483,4.513,0
ovarian_cancer,NMDA,486.582,4.456,1
colorectal_cancer,PD1,510.09,3.624,0
migraine,5-HT1A,482.781,2.139,0
schizophrenia,HER2,392.349,3.529,0
lymphoma,ALK,473.726,3.463,1
schizophrenia,GABA_A,493.313,4.442,1
type2_diabetes,PD-L1,465.251,3.941,1
copd,GLP-1R,442.608,1.783,0
breast_cancer,D2,382.189,2.348,0
lung_cancer,5-HT1A,389.353,2.313,0
rheumatoid_arthritis,NMDA,451.249,3.902,0
psoriasis,EGFR,467.781,2.521,0
psoriasis,GIPR,490.863,4.031,1
psoriasis,VEGF,524.128,1.901,0
schizophrenia,ALK,463.747,3.553,0
copd,VEGF,384.608,2.39,0
lung_cancer,mTOR,487.057,1.633,0
obesity,TNF_alpha,533.561,3.537,1
type2_diabetes,PD-L1,394.258,3.582,0
obesity,GABA_A,374.046,4.435,0
rheumatoid_arthritis,mTOR,477.972,1.435,0
obesity,mTOR,351.172,4.165,1
ovarian_cancer,HER2,423.644,3.732,1
schizophrenia,GIPR,412.468,3.645,0
lymphoma,HER2,510.543,3.612,1
migraine,GLP-1R,442.213,2.496,0
migraine,IL-6,446.855,2.866,1
lung_cancer,TNF_alpha,305.037,3.641,1
obesity,TNF_alpha,499.766,4.329,1
ovarian_cancer,mTOR,535.713,5.02,1
melanoma,IL-6,469.945,4.045,1
colorectal_cancer,mTOR,591.502,2.508,0
prostate_cancer,PD-L1,489.989,1.601,1
ovarian_cancer,EGFR,433.482,3.56,1
migraine,ALK,500.041,3.885,1
migraine,BRAF,444.709,2.347,0
ovarian_cancer,SGLT2,365.287,4.482,1
melanoma,TNF_alpha,450.11,1.723,1
lung_cancer,GIPR,530.917,4.341,0
melanoma,mTOR,482.328,1.978,0
melanoma,EGFR,495.03,2.12,0
colorectal_cancer,GLP-1R,526.208,3.474,0
lymphoma,ALK,574.333,3.854,1
type2_diabetes,GLP-1R,371.579,6.0,0
lymphoma,ALK,469.306,1.849,0
colorectal_cancer,PD1,462.089,3.765,0
obesity,TNF_alpha,412.736,2.849,0
colorectal_cancer,EGFR,385.405,2.851,0
asthma,mTOR,359.551,3.623,1
depression,PD1,436.682,3.212,1
schizophrenia,TNF_alpha,521.628,2.368,1
lung_cancer,IL-6,473.092,3.075,1
obesity,IL-6,408.686,2.804,1
breast_cancer,BRAF,477.445,3.308,1
lymphoma,mTOR,433.531,2.253,0
breast_cancer,GABA_A,397.232,2.295,0
psoriasis,GABA_A,410.708,2.715,0
breast_cancer,PD-L1,313.823,2.537,1
schizophrenia,GABA_A,353.744,1.958,0
migraine,ALK,419.478,2.42,0
asthma,IL-6,413.51,3.181,0
colorectal_cancer,NMDA,419.648,3.332,0
migraine,SGLT2,447.485,2.152,0
type2_diabetes,TNF_alpha,558.162,3.282,0
copd,VEGF,464.707,5.693,0
rheumatoid_arthritis,HER2,335.89,3.781,0
lung_cancer,D2,443.552,2.167,0
obesity,GABA_A,355.131,0.678,0
rheumatoid_arthritis,HER2,596.605,3.814,1
depression,5-HT1A,416.87,3.806,0
obesity,IL-6,427.689,3.845,0
lung_cancer,GABA_A,586.216,2.925,0
prostate_cancer,PD1,549.751,2.938,0
type2_diabetes,NMDA,428.15,4.054,0
colon_cancer,PD-L1,575.031,2.726,0
colorectal_cancer,GABA_A,470.956,1.745,0
copd,TNF_alpha,627.502,2.841,0
obesity,GLP-1R,282.266,3.864,0
asthma,HER2,467.342,1.903,0
prostate_cancer,GLP-1R,377.308,2.285,0
rheumatoid_arthritis,HER2,406.138,3.833,1
obesity,IL-6,455.399,3.445,0
asthma,HER2,547.437,2.487,0
ovarian_cancer,GLP-1R,459.294,2.155,0
breast_cancer,D2,407.503,3.484,0
rheumatoid_arthritis,IL-6,395.409,2.323,1
depression,PD-L1,382.913,2.113,0
type2_diabetes,IL-6,473.695,3.375,1
colorectal_cancer,IL-6,399.015,3.458,0
ovarian_cancer,GLP-1R,392.836,2.738,0
lymphoma,EGFR,375.079,2.332,0
schizophrenia,EGFR,444.434,3.89,1
rheumatoid_arthritis,PD-1,401.451,3.458,1
psoriasis,mTOR,605.135,1.599,1
schizophrenia,mTOR,407.9,4.388,1
lung_cancer,GLP-1R,402.051,1.89,0
colon_cancer,VEGF,511.457,3.215,0
rheumatoid_arthritis,VEGF,397.933,3.002,0
ovarian_cancer,BRAF,283.271,4.725,1
colorectal_cancer,ALK,325.749,2.699,0
type2_diabetes,GIPR,404.413,3.33,0
copd,GABA_A,384.832,2.454,0
obesity,VEGF,413.999,4.257,1
rheumatoid_arthritis,D2,476.001,2.554,0
lung_cancer,TNF_alpha,504.841,4.849,1
colon_cancer,VEGF,398.801,2.834,0
rheumatoid_arthritis,ALK,457.845,4.296,1
rheumatoid_arthritis,EGFR,393.782,1.795,0
type2_diabetes,PD1,457.34,3.252,1
rheumatoid_arthritis,ALK,505.602,1.538,0
rheumatoid_arthritis,IL-6,519.532,2.544,1
asthma,PD-L1,476.507,3.533,0
melanoma,5-HT1A,520.084,4.473,1
lung_cancer,BRAF,362.934,1.721,0
breast_cancer,PD1,318.841,2.608,0
ovarian_cancer,BRAF,412.525,1.845,1
breast_cancer,BRAF,475.925,1.852,0
schizophrenia,ALK,445.584,3.485,0
migraine,PD1,435.048,1.37,0
depression,EGFR,515.98,3.816,1
psoriasis,PD-1,374.087,4.747,1
prostate_cancer,SGLT2,428.387,3.594,0
prostate_cancer,PD-L1,384.039,2.391,0
colon_cancer,mTOR,383.111,1.115,0
copd,PD-1,478.2,2.43,1
colorectal_cancer,GABA_A,444.987,1.149,0
prostate_cancer,VEGF,340.535,4.987,0
copd,GLP-1R,459.827,1.991,1
asthma,5-HT1A,551.097,2.154,0
migraine,SGLT2,602.753,3.81,1
psoriasis,mTOR,317.609,2.04,0
prostate_cancer,GLP-1R,487.337,3.506,0
lymphoma,SGLT2,359.584,5.412,0
ovarian_cancer,EGFR,461.913,2.321,1
melanoma,GIPR,455.763,2.788,0
colorectal_cancer,ALK,310.454,3.582,1
psoriasis,5-HT1A,297.375,2.14,0
lymphoma,GIPR,460.36,2.698,0
colon_cancer,D2,494.524,1.665,0
breast_cancer,SGLT2,300.756,4.029,1
breast_cancer,GLP-1R,442.509,4.326,0
breast_cancer,PD-L1,542.285,2.481,0
rheumatoid_arthritis,GLP-1R,328.452,0.168,0
lung_cancer,ALK,405.554,1.699,1
copd,VEGF,417.086,4.154,0
migraine,GLP-1R,482.861,2.813,0
obesity,NMDA,465.234,3.449,0
lymphoma,IL-6,447.853,2.486,0
copd,VEGF,486.281,2.018,1
lymphoma,PD1,587.877,3.499,0
migraine,HER2,372.981,2.793,0
breast_cancer,mTOR,464.386,3.487,0
depression,PD1,507.169,0.95,0
schizophrenia,ALK,482.264,3.428,1
ovarian_cancer,PD-L1,340.266,2.291,0
type2_diabetes,NMDA,364.457,1.213,0
psoriasis,PD1,405.556,3.204,0
copd,IL-6,419.836,2.65,1
prostate_cancer,GABA_A,442.529,2.471,0
schizophrenia,GLP-1R,462.248,4.018,0
lymphoma,IL-6,590.395,3.018,1
copd,SGLT2,478.284,2.744,1
breast_cancer,mTOR,468.021,3.693,0
psoriasis,PD1,567.156,2.438,0
type2_diabetes,EGFR,391.357,4.818,1
prostate_cancer,GLP-1R,426.112,3.274,1
melanoma,GIPR,546.043,3.14,0
obesity,BRAF,508.579,2.787,0
rheumatoid_arthritis,PD-1,445.473,4.219,1
colon_cancer,mTOR,503.835,1.235,0
lung_cancer,ALK,442.443,3.42,1
melanoma,PD-L1,554.641,1.821,1
breast_cancer,BRAF,439.639,3.58,1
lung_cancer,mTOR,455.875,2.664,0
lung_cancer,TNF_alpha,391.632,3.361,1
lung_cancer,NMDA,485.48,1.848,0
migraine,5-HT1A,486.048,1.13,0
lung_cancer,GIPR,423.774,2.662,0
colorectal_cancer,TNF_alpha,481.118,3.251,0
lymphoma,GIPR,382.762,2.775,0
prostate_cancer,GLP-1R,533.897,4.655,0
obesity,IL-6,420.107,2.493,1
prostate_cancer,SGLT2,438.848,3.74,0
ovarian_cancer,IL-6,456.678,2.48,0
melanoma,PD-1,455.814,2.589,0
type2_diabetes,TNF_alpha,395.866,4.005,0
rheumatoid_arthritis,D2,311.504,4.495,1
schizophrenia,NMDA,311.294,3.341,1
lung_cancer,PD-1,487.878,2.732,0
obesity,PD1,399.583,3.07,0
breast_cancer,GLP-1R,484.581,3.47,0
copd,5-HT1A,500.853,2.451,1
melanoma,mTOR,441.147,2.103,0
psoriasis,IL-6,504.189,2.225,0
copd,GIPR,217.441,2.625,0
obesity,GLP-1R,503.851,0.63,0
prostate_cancer,GLP-1R,556.291,3.313,1
schizophrenia,mTOR,436.244,2.83,0
obesity,HER2,357.651,1.248,1
schizophrenia,TNF_alpha,575.424,2.14,0
rheumatoid_arthritis,GABA_A,344.629,3.776,1
ovarian_cancer,GABA_A,424.999,3.61,0
copd,mTOR,332.657,2.499,0
schizophrenia,GABA_A,491.321,3.973,1
breast_cancer,VEGF,361.706,2.669,0
breast_cancer,BRAF,562.114,1.858,0
breast_cancer,5-HT1A,521.436,4.83,1
psoriasis,EGFR,427.578,1.174,1
lymphoma,BRAF,327.197,1.12,0
copd,5-HT1A,541.569,3.21,0
lung_cancer,VEGF,464.814,3.425,1
rheumatoid_arthritis,PD-1,567.567,3.295,0
breast_cancer,TNF_alpha,373.815,2.323,1
schizophrenia,5-HT1A,496.907,2.604,0
asthma,mTOR,522.032,3.451,0
psoriasis,5-HT1A,522.13,4.688,1
asthma,VEGF,508.85,4.782,0
melanoma,mTOR,523.437,2.234,0
migraine,5-HT1A,365.989,3.757,0
type2_diabetes,PD1,385.343,3.71,0
depression,D2,472.7,2.012,0
colorectal_cancer,VEGF,427.107,0.885,1
copd,GLP-1R,416.567,0.974,0
lung_cancer,VEGF,435.151,2.678,0
melanoma,PD-1,364.332,4.911,1
melanoma,PD-L1,406.333,2.13,1
colon_cancer,PD-1,464.777,3.938,1
prostate_cancer,SGLT2,388.153,3.001,0
lymphoma,GLP-1R,316.512,4.059,1
migraine,BRAF,364.589,2.72,0
breast_cancer,BRAF,468.32,1.142,0
prostate_cancer,PD-L1,458.902,3.152,1
prostate_cancer,mTOR,479.41,3.148,0
schizophrenia,ALK,502.212,1.862,0
asthma,GABA_A,430.951,3.046,1
colon_cancer,TNF_alpha,543.203,1.754,1
psoriasis,NMDA,379.734,2.622,0
colorectal_cancer,VEGF,389.185,3.287,0
breast_cancer,GLP-1R,520.513,3.721,0
lung_cancer,TNF_alpha,346.199,2.242,0
melanoma,ALK,543.616,3.134,1
colon_cancer,HER2,498.673,5.766,0
breast_cancer,GABA_A,277.809,3.876,0
obesity,5-HT1A,338.887,2.405,0
lung_cancer,EGFR,399.781,2.712,0
prostate_cancer,BRAF,447.479,3.275,0
migraine,GABA_A,552.157,3.338,0
lymphoma,PD-L1,384.583,1.367,1
obesity,PD-L1,357.732,4.137,0
copd,BRAF,376.646,3.327,0
type2_diabetes,PD-1,538.066,4.061,1
breast_cancer,D2,449.99,4.083,1
psoriasis,GLP-1R,355.45,3.449,0
colon_cancer,NMDA,413.236,1.262,0
prostate_cancer,NMDA,421.083,3.416,0
asthma,HER2,654.375,2.358,1
rheumatoid_arthritis,TNF_alpha,465.691,2.096,1
lymphoma,PD-1,502.589,1.73,1
prostate_cancer,PD1,449.808,2.411,0
depression,PD-L1,382.983,1.921,0
colon_cancer,IL-6,577.187,3.574,1
lymphoma,BRAF,408.467,5.164,0
colon_cancer,HER2,490.223,4.796,1
copd,PD-L1,420.066,2.844,1
copd,PD-L1,367.89,4.23,1
obesity,PD-1,564.072,2.421,1
colorectal_cancer,BRAF,504.315,2.863,0
asthma,IL-6,467.442,2.021,1
rheumatoid_arthritis,PD-1,402.495,2.834,0
melanoma,D2,349.944,3.022,0
copd,BRAF,357.733,1.313,0
depression,PD1,432.934,3.96,0
rheumatoid_arthritis,mTOR,393.278,4.953,0
type2_diabetes,PD1,463.802,3.511,1
colorectal_cancer,5-HT1A,443.805,1.805,0
colon_cancer,PD-1,306.261,4.49,1
colon_cancer,NMDA,427.615,2.035,0
prostate_cancer,5-HT1A,382.769,3.676,0
migraine,PD1,623.204,4.191,1
prostate_cancer,BRAF,302.316,3.92,1
lymphoma,VEGF,384.703,3.078,0
depression,PD-L1,433.656,3.804,0
depression,EGFR,444.082,2.924,0
melanoma,IL-6,389.494,3.173,1
melanoma,TNF_alpha,490.447,4.489,1
copd,BRAF,446.331,2.169,0
depression,PD1,489.314,3.57,0
melanoma,PD1,494.766,2.186,0
migraine,TNF_alpha,484.878,0.468,1
colon_cancer,PD-1,464.941,3.473,1
melanoma,GLP-1R,396.005,2.597,0
schizophrenia,GIPR,348.825,4.529,0
rheumatoid_arthritis,D2,517.259,3.208,0
copd,IL-6,426.528,1.551,0
asthma,PD-L1,484.067,3.418,1
obesity,PD-L1,541.317,2.441,1
obesity,SGLT2,485.536,4.101,1
obesity,PD1,328.272,4.747,1
copd,IL-6,631.795,3.889,1
obesity,GIPR,538.234,4.935,0
schizophrenia,NMDA,461.642,2.386,1
depression,PD-L1,326.45,3.132,1
obesity,IL-6,441.079,2.195,0
schizophrenia,GLP-1R,408.625,2.452,0
obesity,PD-L1,439.788,2.439,1
melanoma,PD-L1,259.885,2.661,1
ovarian_cancer,D2,451.506,1.828,0
lung_cancer,mTOR,460.122,2.265,0
depression,mTOR,462.535,4.024,1
asthma,SGLT2,618.294,3.596,0
lung_cancer,SGLT2,413.636,2.781,0
migraine,BRAF,318.992,3.12,0
psoriasis,TNF_alpha,528.225,0.894,0
copd,IL-6,360.918,4.77,1
lymphoma,HER2,421.095,2.936,0
copd,PD1,458.831,3.507,1
prostate_cancer,BRAF,376.035,1.402,0
rheumatoid_arthritis,TNF_alpha,499.66,4.04,1
prostate_cancer,mTOR,515.24,2.952,0
type2_diabetes,PD1,378.201,1.688,0
breast_cancer,PD-1,453.618,3.051,0
colon_cancer,D2,327.816,1.298,0
lymphoma,PD-1,490.019,2.466,0
depression,ALK,405.676,4.599,1
prostate_cancer,NMDA,484.782,3.475,1
psoriasis,D2,462.777,2.634,0
asthma,D2,552.361,0.783,0
melanoma,GLP-1R,462.581,3.006,0
type2_diabetes,VEGF,372.747,4.629,0
lymphoma,SGLT2,559.448,1.831,0
ovarian_cancer,PD-L1,303.465,1.949,0
rheumatoid_arthritis,VEGF,355.577,3.264,0
copd,PD-1,617.667,4.594,1
asthma,TNF_alpha,546.374,2.376,1
colorectal_cancer,IL-6,520.353,1.923,1
psoriasis,BRAF,502.556,3.828,1
colorectal_cancer,EGFR,361.074,2.964,0
ovarian_cancer,IL-6,594.761,1.526,1
obesity,SGLT2,302.794,2.968,0
lung_cancer,VEGF,455.133,2.64,1
schizophrenia,PD-1,440.95,1.701,0
schizophrenia,D2,518.208,5.121,0
rheumatoid_arthritis,SGLT2,526.671,3.052,0
obesity,BRAF,524.897,3.185,1
migraine,ALK,426.201,4.312,1
